"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"mainmenu/titleProfile";"Profile";"Profil";"Profilo";"Profil";"Perfil";"Профиль";"Профіль";"Profil";"Perfil";"Profil";"Profil";"Προφίλ";"Profil";"โปรไฟล์";"프로필";"档\t案";"プロフィール";"個\t人\t資\t料";;
"mainmenu/titlePlayerProfile";"Player Profile";"Profil de joueur";"Profilo del Giocatore";"Spielerprofil";"Perfil del Jugador";"Профиль игрока";"Профіль гравця";"Profil Gracza";"Perfil do Jogador";"Oyuncu Profili";"Profil hráče";"Προφίλ παίκτη";"Profil Pemain";"โปรไฟล์ผู้เล่น";"플레이어 프로필";"个\t人\t页\t面";"プレイヤープロフィール";"個\t人\t檔\t案";;
"mainmenu/titlePlayerReport";"Report Player";"Signaler un joueur";"Riporta Giocatore";"Spieler melden";"Reportar jugador";"Жалоба на игрока";"Поскаржитися на гравця";"Zgłoś gracza";"Denunciar Jogador";"Oyuncuyu şikayet et";"Nahlásit hráče";"Αναφορά παίκτη";"Laporkan Pemain";"รายงานผู้เล่น";"플레이어 신고";"举\t报\t玩\t家";"プレイヤーを\t報告";"檢\t舉\t玩\t家";;
"mainmenu/btnBack";"Back";"Retour";"Indietro";"Zurück";"Volver";"Назад";"Назад";"Wstecz";"Voltar";"Geri";"Zpět";"Πίσω";"Kembali";"ย้อนกลับ";"뒤로";"返\t回";"戻る";"返\t回";;
"mainmenu/btnClose";"Close";"Fermer";"Chiudi";"Schließen";"Cerrar";"Закрыть";"Закрити";"Zamknij";"Fechar";"Kapat";"Zavřít";"Κλείσιμο";"Tutup";"ปิด";"닫기";"关\t闭";"閉じる";"關\t閉";;
"mainmenu/btnSelect";"Select";"Sélectionner";"Selezionare";"Auswählen";"Seleccionar";"Выбрать";"Вибір";"Wybierz";"Selecionar";"Seç";"Vybrat";"Επιλέξτε";"Pilih";"เลือก";"선택";"选\t择";"選択";"選\t擇";;
"mainmenu/questionQuitGame";"Would you like to quit?";"Voulez-vous quitter ?";"Vuoi uscire?";"Möchtest du das Spiel verlassen?";"¿Deseas salir?";"Вы действительно хотите выйти из игры?";"Ви дійсно хочете вийти з гри?";"Czy chcesz wyjść?";"Deseja sair?";"Çıkmak İster Misin?";"Chceš odejít?";"Θα θέλατε να αποχωρήσετε;";"Kamu ingin keluar?";"คุณต้องการออกหรือไม่?";"나가시겠습니까?";"确\t定\t要\t退\t出\t游\t戏\t吗？";"終了しますか？";"確\t定\t要\t退\t出\t遊\t戲\t嗎?";;
"mainmenu/btnPageNext";"Next";"Suivant";"Successivo";"Nächste";"Siguiente";"Следующая";"Наступна";"Następny";"Próximo";"Sıradaki";"Další";"Επόμενο";"Berikutnya";"ถัดไป";"다음";"下\t一\t页";"次へ";"下\t一\t頁";;
"mainmenu/btnPagePrev";"Previous";"Précédent";"Precedente";"Vorherige";"Anterior";"Предыдущая";"Попередня";"Poprzedni";"Anterior";"Önceki";"Předchozí";"Προηγούμενο";"Sebelumnya";"ก่อนหน้า";"이전";"上\t一\t页";"前へ";"上\t一\t頁";;
"mainmenu/btnReady";"Ready";"Prêt";"Pronto";"Bereit";"Listo";"Готов";"Готовий";"Gotowy";"Pronto";"Hazır";"Připraven";"Έτοιμο";"Siap";"พร้อม";"준비";"准\t备";"準備完了";"準\t備";;
"mainmenu/btnApply";"Apply";"Appliquer";"Applica";"Anwenden";"Aplicar";"Применить";"Застосувати";"Zastosuj";"Aplicar";"Uygula";"Použít";"Εφαρμογή";"Terapkan";"ปรับใช้";"적용";"应\t用";"適用";"應\t用";;
"mainmenu/btnEquip";"Equip";"Équiper";"Equipaggia";"Ausrüsten";"Equipar";"Экипировать";"Екіпірувати";"Wyposaż";"Equipar";"Kuşan";"Vyzbrojit";"Εξοπλισμός";"Pakai";"ติดตั้ง";"장착";"装\t备";"装備";"裝\t備";;
"mainmenu/btnEquipped";"Equipped";"Équipé";"Equipaggiato";"Ausgerüsted";"Equipado";"Экипирован";"Оснащено";"Wyposażone";"Equipado";"Kullanılıyor";"Vybaveno";"Εξοπλισμένο";"Dipakai";"ติดตั้งแล้ว";"장착 완료";"已\t装\t备";"装備中";"已\t裝\t備";;
"mainmenu/btnOk";"OK";"Ok";"OK";"OK";"Aceptar";"Ок";"Ок";"OK";"OK";"Tamam";"OK";"OK";"Oke";"ตกลง";"확인";"确\t定";"確認";"確\t定";;
"mainmenu/btnChangeName";"Change name";"Modifier le nom";"Cambia nome";"Name ändern";"Cambiar nombre";"Поменять имя";"Змінити ім'я";"Zmień nazwę";"Alterar nome";"Adı değiştir";"Změnit jméno";"Αλλαγή ονόματος";"Ganti Nama";"เปลี่ยนชื่อ";"이름 변경";"更\t改\t昵\t称";"名前を\t変更";"變\t更\t暱\t稱";;
"mainmenu/seconds";"s";"s";"s";"s";"s";"с";"с";"s";"s";"s";"s";"s";"dtk";"วิ";"초";"秒";"秒";"秒";;
"mainmenu/protectionMap";"Protection map";"Carte de protection";"Mappa della protezione";"Panzerungsübersicht";"Mapa de protección";"Карта защищенности";"Карта захищеності";"Analiza ochrony";"Mapa de proteção";"Koruma haritası";"Mapa ochrany";"Χάρτης προστασίας";"Peta perlindungan";"แผนที่คุ้มกัน";"취약부 분석";"防\t御\t分\t布\t图";"防御力\tマップ";"防\t禦\t分\t佈\t圖";"NOT TRANSLATED";
"mainmenu/considerCameraVerticalAngle";"Consider camera vertical angle";"Prendre en compte l'angle vertical de la caméra";"Considera l'angolo verticale della telecamera";"Vertikalen Kamerawinkel beachten";"Considerar ángulo vertical de cámara";"Учитывать вертикальный угол камеры";"Враховувати вертикальний кут камери";"Uwzględnij pionowy kąt kamery";"Considerar o ângulo vertical da câmara";"Kamera dikey açısını dikkate al";"Ber v potaz úhel kamery";"Εξετάστε την κατακόρυφη γωνία της κάμερας";"Pertimbangkan sudut vertikal kamera";"พิจารณามุมกล้องแนวตั้ง";"카메라 수직 각도 조절";"垂\t直\t入\t射\t角\t包\t含\t镜\t头\t角\t度";"カメラの\t仰俯角を\t考慮";"垂\t直\t入\t射\t角\t包\t含\t鏡\t頭\t角\t度";"NOT TRANSLATED";
"mainmenu/btnQuests";"Tasks";"Tâches";"Compiti";"Aufgaben";"Tareas";"Задания";"Завдання";"Zadania";"Tarefas";"Görevler";"Úkoly";"Αποστολές";"Tugas";"งาน";"과제";"任\t务\t列\t表";"タスク";"任\t務";;
"mainmenu/btnGyroReset";"Gyro reset";"Réinitialiser le gyroscope";"Reset giroscopio";"Gyro zurücksetzen";"Restablecer giroscopio";"Сброс гироскопа";"Скидання гіроскопа";"Zresetuj żyroskop";"Reiniciar giroscópio";"Cayro sıfırlama";"Reset gyroskopu";"Επαναφορά γυροσκοπίου";"Reset Gyro";"รีเซ็ตไจโร";"자이로 초기화";"重\t置\t陀\t螺\t仪";"ジャイロリセット";"陀\t螺\t儀\t重\t設";;
"mainmenu/get_blueprints";"Get blueprints";"Obtenir des plans";"Ottieni gli schemi";"Blaupausen erhalten";"Conseguir planos";"К чертежам";"Отримати креслення";"Zdobądź schematy";"Obter projetos";"Şablonları al";"Získej plány";"Πάρτε σχέδια";"Dapatkan blueprint";"รับพิมพ์เขียว";"청사진 획득";"获\t取\t蓝\t图";"設計図を\t獲得";"獲\t得\t藍\t圖";;
"battlepass/maxLevel";"Max level";"Niveau max";"Livello massimo";"Max Stufe";"Nivel máximo";"Максимальный уровень";"Макс. рівень";"Maksymalny poziom";"Nível máximo";"Maks. seviye";"Max úroveň";"Μέγιστο επίπεδο";"Level maks";"เลเวลสูงสุด";"최대 레벨";"最\t高\t等\t级";"最高\tレベル";"最\t大\t等\t級";;
"battlepass/lock";"Required battlepass level {level}";"Requière le niveau {level} du Battle Pass";"Richiesto il livello {level} del battle pass";"Battle Pass Level {level} benötigt";"Nivel de pase de batalla requerido {level}";"Требуется уровень боевого пропуска {level}";"Потрібен рівень бойової перепустки: {level}";"Wymagany {level} poziom przepustki bitewnej";"Nível do Battle Pass necessário: {level}";"Gerekli battlepass seviyesi {level}";"Požadovaná úroveň bitevního pasu {level}";"Απαιτούμενο επίπεδο battlepass {level}";"Membutuhkan Battle Pass level {level}";"เลเวลแบทเทิลพาสที่ต้องการ {level}";"배틀 패스 레벨 {level} 필요";"通\t行\t证\t等\t级\t需\t要\t达\t到 {level}";"必要\tバトルパスレベル{level}";"通\t行\t證\t等\t級\t需\t要\t達\t到 {level}";;
"battlepass/paid";"Activate battlepass to get this reward";"Activez le Battle Pass pour obtenir cette récompense";"Attiva il battle pass per ottenere questa ricompensa";"Aktiviere den Battle Pass, um diese Belohnung zu erhalten";"Activa el pase de batalla para obtener esta recompensa";"Активируйте боевой пропуск, чтобы получить награду.";"Активуйте бойову перепустку, щоб отримати цю нагороду";"Aktywuj przepustkę bitewną, aby zdobyć tę nagrodę";"Ative o Battle Pass para receber este prémio";"Bu ödülü almak için battlepass'ı etkinleştirin";"Aktivuj si bitevní pas pro tuto odměnu";"Ενεργοποιήστε το battlepass για να λάβετε αυτή την ανταμοιβή";"Aktifkan Battle Pass untuk mendapatkan imbalan ini";"เปิดใช้งานแบทเทิลพาสเพื่อรับรางวัลนี้";"배틀 패스를 구매하여 이 보상을 획득하세요";"激\t活\t通\t行\t证\t方\t可\t领\t取\t该\t奖\t励";"バトルパスを\t有効にしてこの\t報酬を\t受け\t取ろう";"啟\t用\t通\t行\t證\t方\t可\t領\t取\t此\t獎\t勵";;
"battlepass/paid/vip";"Activate VIP pass to get this reward";"Activez le Passe VIP pour obtenir cette récompense";"Attiva il pass VIP per ottenere questa ricompensa";"Aktiviere den VIP-Pass, um diese Belohnung zu erhalten";"Activa el pase VIP para conseguir esta recompensa";"Активируйте VIP пропуск, чтобы получить награду.";"Активуйте VIP-перепустку, щоб отримати цю нагороду";"Aktywuj przepustkę VIP aby zdobyć tę nagrodę";"Ativar Passe VIP para receber este prémio";"Bu ödülü almak için VIP Pass'ı etkinleştirin";"Aktivuj si VIP pas pro zisk této odměny";"Ενεργοποιήστε το VIP pass για να λάβετε αυτή την ανταμοιβή";"Aktifkan VIP Pass untuk mendapatkan imbalan ini";"เปิดใช้งาน VIP พาสเพื่อรับรางวัลนี้";"VIP 배틀 패스를 구매하여 이 보상을 획득하세요";"激\t活\t高\t级\t通\t行\t证\t方\t可\t领\t取\t该\t奖\t励";"VIP\tパスを\t有効にしてこの\t報酬を\t受け\t取ろう";"啟\t動 VIP 通\t行\t證\t取\t得\t這\t份\t獎\t勵";;
"battlepass/premium/header";"Premium account";"Compte premium";"Account Premium";"Premiumkonto";"Cuenta premium";"Премиум-аккаунт";"Преміум-акаунт";"Konto Premium";"Conta Premium";"Premium hesap";"Prémiový účet";"Λογαριασμός Premium";"Akun premium";"บัญชีพรีเมียม";"프리미엄 계정";"高\t级\t账\t号";"プレミアムアカウント";"高\t級\t帳\t號";;
"battlepass/currency/gold";"Golden Eagles";"Golden Eagles";"Aquile Dorate";"Golden Eagles";"Águilas de Oro";"Золотые Орлы";"Золоті орли";"Złote Orły";"Golden Eagles";"Altın Kartal";"Zlaté orlice";"Χρυσοί Αετοί";"Elang Emas";"อินทรีทอง";"골든 이글";"金\t鹰";"ゴールデンイーグル";"金\t鷹";;
"battlepass/currency/wp";"Silver Lions";"Silver Lions";"Leoni Argentati";"Silver Lions";"Leones de Plata";"Серебряные Львы";"Срібні леви";"Srebrne Lwy";"Silver Lions";"Gümüş Aslan";"Stříbrní lvi";"Ασημένια Λιοντάρια";"Singa Perak";"สิงโตเงิน";"실버 라이온";"银\t狮";"シルバーライオン";"銀\t獅";;
"battlepass/currency/warbond";"Warbond";"Warbond";"Warbond";"Kriegsanleihen";"Bonos de Guerra";"Военная облигация";"Військові облігації";"Obligacja";"Warbond";"Warbond";"Válečný dluhopis";"Πολεμικό ομόλογο";"Warbond";"พันธบัตรสงคราม";"전시채권";"任\t务\t奖\t券";"戦債";"任\t務\t獎\t券";;
"battlepass/currency/eventKey";"Key";"Clé";"Chiave";"Key";"Llave";"Ключ";"Ключ";"Klucz";"Chave";"Anahtar";"Klíč";"Κλειδί";"Kunci";"กุญแจ";"열쇠";"钥\t匙";"鍵";"鑰\t匙";;
"battlepass/receivedRew";"Received reward";"Récompense reçue";"Ricompensa ricevuta";"Belohnung erhalten";"Recompensa recibida";"Награда получена";"Отримана нагорода";"Otrzymano nagrodę";"Recompensa recebida";"Alınan ödül";"Získána odměna";"Έλαβε ανταμοιβή";"Imbalan diterima";"รับรางวัลแล้ว";"받은 보상";"已\t获\t得\t的\t奖\t励";"獲得した\t報酬";"已\t獲\t得\t的\t獎\t勵";;
"battlepass/unavailableRew";"Unavailable reward. To access you must have {unitName}";"Récompense indisponible. Pour y accéder il vous faut {unitName}";"Ricompensa non disponibile. Per accedervi devi avere {unitName}";"Nicht verfügbare Belohnung. Für den Zugriff musst du {unitName} haben";"Recompensa no disponible. Para acceder debes tener {unitName}";"Награда недоступна. Для доступа необходимо наличие {unitName}";"Недоступна нагорода. Для отримання потрібна {unitName}";"Nagroda niedostępna. Aby uzyskać dostęp, musisz posiadać {unitName}";"Recompensa indisponível. Para aceder é necessário {unitName}";"Ödül kullanılamıyor. Erişmek için {unitName} almalısınız";"Nedostupná odměna. Pro přístup je nutné vlastnit {unitName}";"Μη διαθέσιμη ανταμοιβή. Για να αποκτήσετε πρόσβαση πρέπει να έχετε {unitName}";"Imbalan tidak tersedia. Kamu membutuhkan {unitName} untuk mengaksesnya";"รางวัลที่ไม่สามารถรับได้ คุณต้องมี {unitName} เพื่อเข้าถึง";"아직 수령할 수 없습니다. {unitName} 이(가) 필요합니다.";"无\t法\t获\t取\t奖\t励，\t需\t要\t拥\t有 {unitName} 才\t能\t解\t锁\t权\t限";"受け\t取れない\t報酬です。\tアクセスするには{unitName}が\t必要です";"獎\t勵\t無\t法\t使\t用，\t你\t必\t須\t擁\t有\t{unitName}\t才\t可\t存\t取";;
"battlepass/level_up";"Battlepass level up";"Niveau du passe de combat augmenté";"Nuovo livello battlepass";"Battle Pass-Level aufsteigen";"Subida de nivel del Pase de Batalla";"Повышение уровня боевого пропуска";"Підвищення рівня бойової перепустки";"Nowy poziom Przepustki Bitewnej";"Subir nível do Battle Pass";"Battlepass seviyesi arttı";"Nová úroveň Bitevního pasu";"Αναβάθμιση επιπέδου battlepass";"Battle Pass naik level";"แบทเทิลพาสเลเวลเพิ่ม";"배틀패스 레벨 업";"战\t斗\t通\t行\t证\t升\t级";"バトルパスレベルアップ";"戰\t鬥\t通\t行\t證\t升\t級";;
"battlepass/buyLevel";"Buy +1 level";"Acheter 1 niveau";"Acquista +1 livello";"Kaufe +1 Level";"Comprar +1 nivel";"Купить +1 уровень";"Купити +1 рівень";"Kup +1 poziom";"Comprar +1 nível";"+1 seviye satın al";"Koupit +1 úroveň";"Αγοράστε +1 επίπεδο";"Beli +1 level";"ซื้อ +1 เลเวล";"+1 레벨 구매";"购\t买 1 级";"+1\tレベルを\t購入";"購\t買 +1 等\t級";;
"quests/weekly";"Weekly";"Hebdomadaire";"Settimanali";"Wöchentlich";"Semanal";"Еженедельные";"Щотижневі";"Tygodniowe";"Semanais";"Haftalık";"Týdně";"Εβδομαδιαία";"Mingguan";"รายสัปดาห์";"주간";"每\t周";"ウィークリー";"每\t週";;
"quests/promo";"Promo";"Promo";"Promozione";"Promo";"Promoción";"Промо";"Промо";"Promocja";"Promocionais";"Promo";"Promo";"Προσφορά";"Promo";"โปรโมชั่น";"추천";"推\t广";"プロモ";"推\t廣";;
"quests/rewardsList";"Rewards list";"Liste des récompenses";"Lista ricompense";"Liste der Belohnungen";"Lista de recompensas";"Список наград";"Список нагород";"Lista nagród";"Lista de recompensas";"Ödül listesi";"Seznam odměn";"Λίστα ανταμοιβών";"Daftar imbalan";"รายการรางวัล";"보상 목록";"奖\t励\t列\t表";"報酬\tリスト";"獎\t勵\t列\t表";;
"quests/common";"Battle Pass";"Battle Pass";"Battle Pass";"Battle Pass";"Pase de Batalla";"Боевой пропуск";"Бойова Перепустка";"Przepustka bitewna";"Battle Pass";"Battle Pass";"Bitevní pas";"Battle Pass";"Battle Pass";"แบทเทิลพาส";"배틀 패스";"战\t斗\t通\t行\t证";"バトルパス";"戰\t鬥\t通\t行\t證";;
"quests/addProgress";"Add progress";"Ajouter la progression";"Aggiungi progressi";"Fortschritt hinzufügen";"Añadir progreso";"Ускорить прогресс";"Додати прогрес";"Dodaj postęp";"Adicionar progresso";"İlerleyiş ekle";"Přidat postup";"Προσθήκη προόδου";"Tambahkan progres";"เพิ่มความคืบหน้า";"진행도 추가";"增\t加\t进\t度";"進捗を\t追加";"增\t加\t進\t度";;
"quests/addProgress_budget";"Add (left {num})";"Ajoutez (restant {num})";"Aggiungi ({num} rimasti)";"Hinzufügen (übrig {num})";"Añadir (restante {num})";"Ускорить (осталось {num})";"Додати (залишилося {num})";"Dodaj (pozostały {num})";"Adicionar (restam {num})";"Ekle (kalan {num})";"Přidat (zbývá {num})";"Προσθήκη ({num} αριστερά)";"Tambahkan (tersisa {num})";"เพิ่ม (เหลือ {num})";"추가 ({num} 개 남음)";"添\t加 (尚\t余 {num})";"追加（残り{num}）";"增\t加 (餘\t下 {num})";;
"quests/untilTheEnd";"Until the end {time}";"Jusqu'à la fin {time}";"Fino alla fine {time}";"Bis zum Ende {time}";"Hasta el final {time}";"До окончания {time}";"До кінця: {time}";"Do końca {time}";"Até ao final {time}";"Kalan zaman: {time}";"Do konce zbývá {time}";"Μέχρι το τέλος {time}";"Hingga akhir {time}";"จนสิ้นสุด {time}";"마감 시간: {time}";"截\t止\t时\t间：\t{time}";"{time}の\t終了まで";"截\t止\t時\t間：\t{time}";;
"quests/untilTheStart";"Available in {time}";"Disponible dans {time}";"Disponibile tra {time}";"Verfügbar in {time}";"Disponible en {time}";"Доступны через {time}";"Доступно через {time}";"Dostępne za {time}";"Disponível dentro de {time}";"Kullanılabileceği zaman: {time}";"Dostupné za {time}";"Διαθέσιμο σε {time}";"Tersedia dalam {time}";"เริ่มได้ใน {time}";"{time} 후 진행 가능";"即\t将\t开\t放：\t{time}";"利用可能まで{time}";"即\t將\t開\t放：\t{time}";;
"quests/completed";"Completed";"Terminé";"Completata";"Abgeschlossen";"Completado";"Выполнено";"Завершено";"Ukończone";"Cumprida";"Tamamlandı";"Dokončené";"Ολοκληρωμένο";"Selesai";"เสร็จสิ้นแล้ว";"완료";"已\t完\t成";"完了";"已\t完\t成";;
"quests/allCompleted";"All tasks completed";"Toutes les tâches terminées";"Tutte le missioni completate";"Alle Aufgaben abgeschlossen";"Todas las tareas completadas";"Все задания выполнены";"Усі завдання виконано";"Ukończono wszystkie zadania";"Todas as tarefas cumpridas";"Tüm görevler tamamlandı";"Všechny úkoly dokončeny";"Όλες οι αποστολές ολοκληρώθηκαν";"Semua tugas selesai";"งานทั้งหมดเสร็จสิ้นแล้ว";"모든 임무 완수";"已\t完\t成\t所\t有\t任\t务";"全\tタスククリア";"已\t完\t成\t所\t有\t任\t務";;
"quests/achievements";"Achievements";"Succès";"Riconoscimenti";"Erfolge";"Logros";"Достижения";"Досягнення";"Osiągnięcia";"Conquistas";"Başarılar";"Úspěchy";"Επιτεύγματα";"Pencapaian";"ความสำเร็จ";"업적";"成\t就";"実績";"成\t就";;
"quests/requiredCompletePreviousQuest";"Complete the previous task";"Terminer la tâche précédente";"Completa i compiti precedenti";"Schließe die vorherige Aufgabe ab";"Completa la tarea anterior";"Завершите предыдущее задание";"Завершіть попереднє завдання";"Ukończ poprzednie zadanie";"Cumpra a tarefa anterior";"Önceki görevi tamamlayın";"Splň předcházející úkol";"Ολοκληρώστε την προηγούμενη αποστολή";"Selesaikan tugas sebelumnya";"ทำงานก่อนหน้าให้เสร็จ";"이전 임무를 완료해야 합니다.";"完\t成\t前\t置\t任\t务";"前の\tタスクを\tクリアしてください";"完\t成\t上\t一\t個\t任\t務";;
"flightmenu/btnRestart";"Restart";"Redémarrer";"Riavvia";"Neustart";"Reiniciar";"Играть заново";"Грати наново";"Zacznij od nowa";"Reiniciar";"Yeniden Başlat";"Restartování";"Επανεκκίνηση";"Mulai Ulang";"รีสตาร์ท";"재시작";"重\t新\t开\t始";"ミッションをやり\t直す";"重\t新\t開\t始";;
"flightmenu/btnLeaveTheTank";"Leave the Vehicle";"Quitter le véhicule";"Abbandona il veicolo";"Fahrzeug verlassen";"Abandonar el Vehículo";"Покинуть машину";"Покинути машину";"Opuść maszynę";"Deixar o Veículo";"Aracı terket";"Opustit vozidlo";"Αποχωρήστε από το όχημα";"Tinggalkan Kendaraan";"ออกจากพาหนะ";"차량에서 탈출하기";"离\t开\t载\t具";"車両から\t脱出する";"離\t開\t載\t具";;
"flightmenu/btnLeaveTheVehicle/short";"Leave";"Quitter";"Abbandona";"Verlassen";"Salir";"Покинуть";"Покинути";"Opuść";"Sair";"Ayrıl";"Opustit";"Αποχώρηση";"Tinggalkan";"ออก";"탈출하기";"离\t开";"終了";"離\t開";;
"flightmenu/btnControlsHelp";"Help";"Aide";"Guida";"Hilfe";"Ayuda";"Помощь";"Допомога";"Pomoc";"Ajuda";"Yardım";"Nápověda";"Βοήθεια";"Bantuan";"ช่วยเหลือ";"도움말";"帮\t助";"ヘルプ";"幫\t助";;
"flightmenu/questionQuitMission";"Are you sure you want to go back to the hangar?";"Êtes-vous certain de vouloir quitter cette mission?";"Sei sicuro di voler tornare all'hangar?";"Bist du sicher, dass du zum Hangar zurückkehren möchtest?";"¿Seguro que quieres volver al hangar?";"Вы уверены, что хотите вернуться в ангар?";"Ви впевнені, що хочете повернутися в ангар?";"Czy na pewno chcesz powrócić do hangaru?";"Tem certeza que quer voltar para o hangar?";"Hangara dönmek istediğinizden emin misiniz?";"Opravdu se chceš vrátit na základnu?";"Θέλετε σίγουρα να επιστρέψετε στο υπόστεγο αεροσκαφών;";"Kamu yakin ingin kembali ke hanggar?";"แน่ใจหรือไม่ว่าต้องการกลับไปยังโรงเก็บเครื่องบิน?";"격납고로 돌아가시겠습니까?";"确\t定\t要\t返\t回\t基\t地\t吗？";"本当にこの\tミッションを\t終了しますか？";"確\t定\t要\t返\t回\t基\t地\t嗎?";;
