"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>"
"priceText/cad";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/chf";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}";"Fr.{price}"
"priceText/clp";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/cny";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}"
"priceText/cop";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/crc";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}";"₡{price}"
"priceText/eur";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €";"{price} €"
"priceText/gbp";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}";"£{price}"
"priceText/hkd";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/idr";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}";"Rp{price}"
"priceText/ils";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}";"₪{price}"
"priceText/inr";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}";"₹{price}"
"priceText/jpy";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}";"¥{price}"
"priceText/krw";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}";"₩{price}"
"priceText/kwd";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD";"{price} KD"
"priceText/kzt";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸";"{price} ₸"
"priceText/mxn";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/myr";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}";"RM {price}"
"priceText/nok";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr";"{price} kr"
"priceText/nzd";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/pen";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}";"S/‎{price}"
"priceText/php";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}";"₱{price}"
"priceText/pln";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł";"{price} zł"
"priceText/qar";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}";"QR {price}"
"priceText/rub";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽";"{price} ₽"
"priceText/sar";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}";"SR {price}"
"priceText/sgd";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/thb";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿";"{price} ฿"
"priceText/try";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺";"{price} ₺"
"priceText/twd";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/uah";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴";"{price} ₴"
"priceText/usd";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/uyu";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}";"${price}"
"priceText/vnd";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫";"{price} ₫"
"priceText/zar";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}";"R{price}"
"icon/mpstats/football_goals";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨";"⋨"
"icon/mpstats/football_saves";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧";"⋧"
"hud/iconRevenge";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊"
"hud/iconOrderTarget";"▋";"▋";"▋";"▋";"▋";"▋";"▋";"▋";"▋";"▋";"▋";"▋";"▋"
"hud/iconOrderRevenge";"▌";"▌";"▌";"▌";"▌";"▌";"▌";"▌";"▌";"▌";"▌";"▌";"▌"
"hud/iconAircraftEvent";"▍";"▍";"▍";"▍";"▍";"▍";"▍";"▍";"▍";"▍";"▍";"▍";"▍"
"hud/iconRepair";"▨";"▨";"▨";"▨";"▨";"▨";"▨";"▨";"▨";"▨";"▨";"▨";"▨"
"hud/iconHealing";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈";"⌈"
"hud/iconBinocular";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂";"⌂"
"hud/radarEmitting";"╎";"╎";"╎";"╎";"╎";"╎";"╎";"╎";"╎";"╎";"╎";"╎";"╎"
"icon/orderScore";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂"
"icon/orderSymbol";"▪";"▪";"▪";"▪";"▪";"▪";"▪";"▪";"▪";"▪";"▪";"▪";"▪"
"icon/timer";"▩";"▩";"▩";"▩";"▩";"▩";"▩";"▩";"▩";"▩";"▩";"▩";"▩"
"icon/hourglass";"▫";"▫";"▫";"▫";"▫";"▫";"▫";"▫";"▫";"▫";"▫";"▫";"▫"
"icon/infinity";"∞";"∞";"∞";"∞";"∞";"∞";"∞";"∞";"∞";"∞";"∞";"∞";"∞"
"icon/web_poll";"┋";"┋";"┋";"┋";"┋";"┋";"┋";"┋";"┋";"┋";"┋";"┋";"┋"
"icon/summation";"∑";"∑";"∑";"∑";"∑";"∑";"∑";"∑";"∑";"∑";"∑";"∑";"∑"
"icon/search";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡";"⌡"
"icon/mpstats/score";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂";"▂"
"icon/mpstats/kills";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭"
"icon/mpstats/ufoKills";"▄";"▄";"▄";"▄";"▄";"▄";"▄";"▄";"▄";"▄";"▄";"▄";"▄"
"icon/mpstats/groundKills";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮"
"icon/mpstats/suitKills";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊";"▊"
"icon/mpstats/navalDamage";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩";"⋩"
"icon/mpstats/navalKills";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚"
"icon/mpstats/aiKills";"▰";"▰";"▰";"▰";"▰";"▰";"▰";"▰";"▰";"▰";"▰";"▰";"▰"
"icon/mpstats/aiGroundKills";"▯";"▯";"▯";"▯";"▯";"▯";"▯";"▯";"▯";"▯";"▯";"▯";"▯"
"icon/mpstats/aiNavalKills";"┙";"┙";"┙";"┙";"┙";"┙";"┙";"┙";"┙";"┙";"┙";"┙";"┙"
"icon/mpstats/aiTotalKills";"␢";"␢";"␢";"␢";"␢";"␢";"␢";"␢";"␢";"␢";"␢";"␢";"␢"
"icon/mpstats/assists";"▱";"▱";"▱";"▱";"▱";"▱";"▱";"▱";"▱";"▱";"▱";"▱";"▱"
"icon/mpstats/deaths";"▴";"▴";"▴";"▴";"▴";"▴";"▴";"▴";"▴";"▴";"▴";"▴";"▴"
"icon/mpstats/captureZone";"△";"△";"△";"△";"△";"△";"△";"△";"△";"△";"△";"△";"△"
"icon/mpstats/damageZone";"▲";"▲";"▲";"▲";"▲";"▲";"▲";"▲";"▲";"▲";"▲";"▲";"▲"
"icon/mpstats/rowNo";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#"
"icon/mpstats/raceLastCheckpoint";"▵";"▵";"▵";"▵";"▵";"▵";"▵";"▵";"▵";"▵";"▵";"▵";"▵"
"icon/mpstats/raceLastCheckpointTime";"▶";"▶";"▶";"▶";"▶";"▶";"▶";"▶";"▶";"▶";"▶";"▶";"▶"
"icon/mpstats/raceLap";"▷";"▷";"▷";"▷";"▷";"▷";"▷";"▷";"▷";"▷";"▷";"▷";"▷"
"icon/mpstats/raceBestLapTime";"▸";"▸";"▸";"▸";"▸";"▸";"▸";"▸";"▸";"▸";"▸";"▸";"▸"
"icon/mpstats/raceFinishTime";"▹";"▹";"▹";"▹";"▹";"▹";"▹";"▹";"▹";"▹";"▹";"▹";"▹"
"icon/hud_msg_mp_dmg/kill_a_a";"▓";"▓";"▓";"▓";"▓";"▓";"▓";"▓";"▓";"▓";"▓";"▓";"▓"
"icon/hud_msg_mp_dmg/kill_a_t";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢"
"icon/hud_msg_mp_dmg/kill_a_s";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢"
"icon/hud_msg_mp_dmg/kill_t_a";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥"
"icon/hud_msg_mp_dmg/kill_t_t";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦"
"icon/hud_msg_mp_dmg/kill_t_s";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦"
"icon/hud_msg_mp_dmg/kill_s_a";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤"
"icon/hud_msg_mp_dmg/kill_s_t";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤";"▤"
"icon/hud_msg_mp_dmg/kill_s_s";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖";"⋖"
"icon/hud_msg_mp_dmg/crash_a";"■";"■";"■";"■";"■";"■";"■";"■";"■";"■";"■";"■";"■"
"icon/hud_msg_mp_dmg/crash_t";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕"
"icon/hud_msg_mp_dmg/crash_s";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕";"▕"
"icon/hud_msg_mp_dmg/crit";"░";"░";"░";"░";"░";"░";"░";"░";"░";"░";"░";"░";"░"
"icon/hud_msg_mp_dmg/burn";"▐";"▐";"▐";"▐";"▐";"▐";"▐";"▐";"▐";"▐";"▐";"▐";"▐"
"icon/hud_msg_mp_dmg/exit";"␡";"␡";"␡";"␡";"␡";"␡";"␡";"␡";"␡";"␡";"␡";"␡";"␡"
"icon/hud_msg_mp_dmg/torpedo";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋";"⌋"
"icon/hud_msg_mp_dmg/mine";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄";"⋄"
"icon/hud_msg_mp_dmg/depth_bomb";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊";"⌊"
"icon/hud_msg_mp_dmg/bomb";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢";"▢"
"icon/hud_msg_mp_dmg/bullet";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥";"▥"
"icon/hud_msg_mp_dmg/shell";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦";"▦"
"icon/hud_msg_mp_dmg/rocket";"▣";"▣";"▣";"▣";"▣";"▣";"▣";"▣";"▣";"▣";"▣";"▣";"▣"
"icon/hud_msg_mp_dmg/artillery";"┗";"┗";"┗";"┗";"┗";"┗";"┗";"┗";"┗";"┗";"┗";"┗";"┗"
"icon/unitclass/assault";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞"
"icon/unitclass/bomber";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠"
"icon/unitclass/heavy_bomber";"┢";"┢";"┢";"┢";"┢";"┢";"┢";"┢";"┢";"┢";"┢";"┢";"┢"
"icon/unitclass/fighter";"┤";"┤";"┤";"┤";"┤";"┤";"┤";"┤";"┤";"┤";"┤";"┤";"┤"
"icon/unitclass/fighter_assault";"┦";"┦";"┦";"┦";"┦";"┦";"┦";"┦";"┦";"┦";"┦";"┦";"┦"
"icon/unitclass/attack_helicopter";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞"
"icon/unitclass/utility_helicopter";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠";"┠"
"icon/unitclass/heavy_tank";"┨";"┨";"┨";"┨";"┨";"┨";"┨";"┨";"┨";"┨";"┨";"┨";"┨"
"icon/unitclass/light_tank";"┪";"┪";"┪";"┪";"┪";"┪";"┪";"┪";"┪";"┪";"┪";"┪";"┪"
"icon/unitclass/medium_tank";"┬";"┬";"┬";"┬";"┬";"┬";"┬";"┬";"┬";"┬";"┬";"┬";"┬"
"icon/unitclass/spaa";"┰";"┰";"┰";"┰";"┰";"┰";"┰";"┰";"┰";"┰";"┰";"┰";"┰"
"icon/unitclass/tank_destroyer";"┴";"┴";"┴";"┴";"┴";"┴";"┴";"┴";"┴";"┴";"┴";"┴";"┴"
"icon/unitclass/ship";"┮";"┮";"┮";"┮";"┮";"┮";"┮";"┮";"┮";"┮";"┮";"┮";"┮"
"icon/unitclass/gun_boat";"␉";"␉";"␉";"␉";"␉";"␉";"␉";"␉";"␉";"␉";"␉";"␉";"␉"
"icon/unitclass/heavy_gun_boat";"␊";"␊";"␊";"␊";"␊";"␊";"␊";"␊";"␊";"␊";"␊";"␊";"␊"
"icon/unitclass/naval_ferry_barge";"␋";"␋";"␋";"␋";"␋";"␋";"␋";"␋";"␋";"␋";"␋";"␋";"␋"
"icon/unitclass/destroyer";"␌";"␌";"␌";"␌";"␌";"␌";"␌";"␌";"␌";"␌";"␌";"␌";"␌"
"icon/unitclass/light_cruiser";"␎";"␎";"␎";"␎";"␎";"␎";"␎";"␎";"␎";"␎";"␎";"␎";"␎"
"icon/unitclass/cruiser";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏"
"icon/unitclass/exp_cruiser";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏";"␏"
"icon/unitclass/battlecruiser";"␐";"␐";"␐";"␐";"␐";"␐";"␐";"␐";"␐";"␐";"␐";"␐";"␐"
"icon/unitclass/battleship";"␑";"␑";"␑";"␑";"␑";"␑";"␑";"␑";"␑";"␑";"␑";"␑";"␑"
"icon/unitclass/submarine";"␒";"␒";"␒";"␒";"␒";"␒";"␒";"␒";"␒";"␒";"␒";"␒";"␒"
"icon/unitclass/ufo";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞";"┞"
"icon/unitclass/suit";"╅";"╅";"╅";"╅";"╅";"╅";"╅";"╅";"╅";"╅";"╅";"╅";"╅"
"icon/unittype/aircraft";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭";"▭"
"icon/unittype/tank";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮";"▮"
"icon/unittype/boat";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛";"⋛"
"icon/unittype/ship";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚";"┚"
"icon/unittype/helicopter";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡";"⋡"
"icon/tutorial";"╵";"╵";"╵";"╵";"╵";"╵";"╵";"╵";"╵";"╵";"╵";"╵";"╵"
"icon/battleTasks";"╴";"╴";"╴";"╴";"╴";"╴";"╴";"╴";"╴";"╴";"╴";"╴";"╴"
"icon/events";"╳";"╳";"╳";"╳";"╳";"╳";"╳";"╳";"╳";"╳";"╳";"╳";"╳"
"icon/news";"╲";"╲";"╲";"╲";"╲";"╲";"╲";"╲";"╲";"╲";"╲";"╲";"╲"
"icon/spare";"╢";"╢";"╢";"╢";"╢";"╢";"╢";"╢";"╢";"╢";"╢";"╢";"╢"
