"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"weapons/counter/right/short";"x%d";"x%d";"x%d";"x %d";"x%d";"x%d";"x%d";"x %d";"x%d";"x%d";"×%d";"x%d";"x%d";"x%d";" x%d";"×%d";"x %d";"×%d";;
"weapons/drop_speed_range";"Drop speed range";"Plage de vitesse de largage";"Velocità di lancio";"Bereich der Abwurfgeschwindigkeit";"Rango de caída de velocidad";"Диапазон скорости для сброса";"Рекомендована швидкість скидання";"Zmniejsz prędkość do przedziału";"Faixa de velocidade de queda";"Bırakma hız aralığı";"Odhazovací rychlost";"Εύρος ταχύτητας ρίψης";"Jangkauan kecepatan drop";"ช่วงความเร็วทิ้งตัว";"투하 속도 범위";"投\t放\t速\t度：";"投下可能速度の\t範囲";"投\t放\t速\t度\t範\t圍";;
"weapons/drop_height_range";"Drop altitude range";"Plage d'altitude de largage";"Altezza di lancio";"Bereich der Abwurfhöhe";"Rango de caída de altitud";"Диапазон высоты для сброса";"Рекомендована висота скидання";"Zmniejsz pułap do przedziału";"Faixa de altitude de queda";"Bırakma yükseklik aralığı";"Odhazovací výška";"Εύρος υψομέτρου ρίψης";"Jangkauan ketinggian drop";"ช่วงระดับความสูงทิ้งตัว";"투하 고도 범위";"投\t放\t高\t度：";"投下可能高度の\t範囲";"投\t放\t高\t度\t範\t圍";;
"mass/kg";"%d kg";"%d kg";"%d kg";"%d kg";"%d kg";"%d кг";"%d кг";"%d kg";"%d kg";"%d kg";"%d kg";"%d kg";"%d kg";"%d กก.";"%d kg";"%d 千\t克";"%d kg";"%d 公\t斤";;
"mass/lbs";"%d lbs";"%d lbs";"%d lbs";"%d lbs";"%d lbs";"%d фнт";"%d ф";"%d lb";"%d lbs";"%d libre";"%d lb";"%d lbs";"%d lbs";"%d ปอนด์";"%d lbs";"%d 磅";"%d ポンド";"%d 磅";;
"caliber/mm";"%d mm";"%d mm";"%d mm";"%dmm";"%d mm";"%d-мм";"%d-мм";"%d mm ";"%d mm";"%d mm";"%d mm";"%d mm";"%d mm";"%d มม.";"%d mm";"%d 毫\t米";"%d mm";"%d 毫\t米";;
"countermeasures/desc";"Сountermeasures";"Contre mesures";"Contromisure";"Gegenmaßnahmen";"Contramedidas";"Средства противодействия";"Засоби протидії";"Środki zakłócające ";"Contramedidas";"Сountermeasures";"Protiopatření";"Αντίμετρα";"Pencegahan";"มาตรการโต้ตอบ";"기만체";"干\t扰\t物\t（对\t抗\t措\t施）";"対抗手段";"紅\t外\t對\t抗\t措\t施";;
"default/name";"Default";"Défaut";"Predefinito";"Standard";"Predeterminado";"Стандарт";"Стандарт";"Domyślna";"Padrão";"Varsayılan";"Výchozí";"Προεπιλογή";"Default";"ค่าเริ่มต้น";"기본";"默\t认";"既定";"默\t認";"Default belt name for machine gun";
"weapon/noSecondaryWeapon";"Without load";"Sans charge";"Senza carico";"Ohne";"Sin carga";"Без подвесного оружия";"Без підвісного озброєння";"Bez ładunku";"Sem carga";"Yüksüz";"Bez výzbroje";"Χωρίς φορτίο";"Tanpa beban";"ไม่ติดอาวุธรอง";"보조무장 없음";"无\t挂\t载";"搭載なし";"無\t掛\t載";;
"weapon/noAdditionalWeapon";"Without load";"Sans charge";"Senza carico";"Ohne";"Sin carga";"Без доп. оружия";"Без дод. зброї";"Bez ładunku";"Sem carga";"Yüksüz";"Bez výzbroje";"Χωρίς φορτίο";"Tanpa beban";"ไม่ติดอาวุธรอง";"보조무장 없음";"无\t挂\t载";"搭載なし";"無\t掛\t載";;
"weapon/noPrimaryWeapon";"Without offensive armament";"Sans armement offensif";"Senza armamento offensivo";"Ohne Offensivbewaffnung";"Without offensive armament";"Без штатного вооружения";"Без наступального озброєння";"Brak uzbrojenia ofensywnego";"Armamento não ofensivo";"Saldırı teçhizat olmadan";"Bez výzbroje";"Χωρίς επιθετικό οπλισμό";"Tanpa persenjataan ofensif";"ไม่ติดอาวุธหลัก";"주 무장 없음";"未\t搭\t载\t进\t攻\t性\t武\t器";"攻撃兵器無し";"未\t掛\t載\t進\t攻\t性\t武\t器";;
"weapon/bombIcon";"┝";"┝";"┝";"┝";"┝";"┝";"┝";"┝";"┝";"┝";"┝";"┓";"┝";"┓";"┝";"┝";"┝";"┝";;
"weapon/rocketIcon";"┡";"┝";"┡";"┝";"┡";"┡";"┡";"┡";"┡";"┡";"┡";"▣";"┡";"▣";"┡";"┡";"┡";"┡";;
"weapon/torpedoIcon";"┟";"┝";"┟";"┝";"┟";"┟";"┟";"┟";"┟";"┟";"┟";"└";"┟";"└";"┟";"┟";"┟";"┟";;
"weapon/additionalGunsIcon";"┣";"┝";"┣";"┝";"┣";"┣";"┣";"┣";"┣";"┣";"┣";"┖";"┣";"┖";"┟";"┣";"┣";"┣";;
"weapon/bigAmountNumberIcon";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";;
"rocket/maxSpeed";"Maximum speed";"Vitesse maximale";"Velocità massima";"Höchstgeschwindigkeit";"Velocidad máxima";"Максимальная скорость";"Максимальна швидкість";"Prędkość maksymalna";"Velocidade Máxima";"Maximum speed";"Maximum speed";"Μέγιστη ταχύτητα";"Kecepatan maksimum";"ความเร็วสูงสุด";"최대 속도";"最\t大\t速\t度";"最大速度";"最\t大\t速\t度";;
"rocket/warhead";"Warhead type";"Type d'ogive";"Tipo di testata";"Gefechtskopf-Typ";"Tipo de ojiva";"Тип боевой части";"Тип боєголовки";"Rodzaj głowicy";"Tipo de ogiva";"Başlık tipi";"Typ hlavice";"Τύπος πολεμικής κεφαλής";"Jenis hulu ledak";"ชนิดหัวรบ";"탄두 종류";"战\t斗\t部\t类\t型";"弾頭の\t種類";"彈\t頭\t類\t型";;
"rocket/warhead/tandem";"HEAT(tandem)";"HEAT (tandem)";"HEAT(tandem)";"HEAT (Tandem)";"HEAT(tandem)";"Кумулятивная(Тандемная)";"КС (тандем)";"Kumulacyjna (ładunek tandemowy)";"HEAT (tandem)";"HEAT(tandem)";"HEAT (tandemová)";"HEAT(tandem)";"HEAT(tandem)";"HEAT (tandem)";"HEAT(탠덤)";"破\t甲 (串\t联\t装\t药)";"HEAT（タンデム）";"反\t戰\t車\t高\t爆 (串\t聯)";;
"rocket/warhead/heat";"HEAT";"HEAT";"HEAT";"HEAT";"HEAT";"Кумулятивная";"КС";"Kumulacyjna";"HEAT";"HEAT";"HEAT";"HEAT";"HEAT";"HEAT";"HEAT";"破\t甲";"HEAT";"反\t戰\t車\t高\t爆";;
"rocket/warhead/he";"HE";"HE";"HE";"HE";"HE";"Осколочно-фугасная";"ОФ";"Odłamkowo-burząca";"HE";"HE";"HE";"HE";"HE";"HE";"HE";"高\t爆";"HE";"高\t爆";;
"rocket/warhead/aphe";"SAP-HE";"SAP-HE";"SAP-HE";"SAP-HE";"SAP-HE";"Проникающая осколочно-фугасная";"SAP-ОФ";"półprzeciwpancerna/odłamkowo-burząca";"SAP-HE";"SAP-HE";"SAP-HE";"SAP-HE";"SAP-HE";"SAP-HE";"SAP-HE";"半\t穿\t甲\t-\t高\t爆";"SAP-HE";"半\t穿\t甲\t-\t高\t爆";;
"rocket/warhead/ap";"AP";"AP";"AP";"AP";"AP";"Бронебойная";"ББ";"przeciwpancerna";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"穿\t甲";"AP";"穿\t甲";;
"rocket/warhead/smoke";"Smoke";"Fumigène";"Fumogeno";"Nebel";"Humo";"Дымовая";"Димовий";"Dym";"Fumaça";"Sis";"Kouř";"Καπνός";"Smoke";"Smoke";"연막탄";"烟\t雾";"発煙";"發\t煙";;
"rocket/warhead/multidart";"Flechette";"Fléchette";"Dardo";"Flechette";"Flechette";"Флешетты";"Флешет";"Strzałki";"Flechette";"Flechette";"Flechette";"Flechette";"Flechette";"Flechette";"플레셰트";"飞\t镖\t弹";"フレシェット";"飛\t鏢\t彈";;
"bulletAction/armor";"Armour-piercing effect";"Effet anti-blindage";"Effetto AP";"Panzerbrechende Wirkung";"Efecto antiblindaje";"Бронебойное действие";"Бронебійний ефект";"Efekt przebicia pancerza";"Efeito da perfuração";"Zırh delici etki";"průbojný účinek";"Διάτρηση θωράκισης";"Efek menembus armor";"เอฟเฟกต์เจาะเกราะ";"장갑관통효과";"穿\t甲\t效\t果";"装甲貫通\tエフェクト";"穿\t甲\t效\t果";;
"bulletAction/damage";"Damaging effect";"Type de dommage";"Effetto danneggiamento";"Schadenswirkung";"Efecto de daño";"Поражающее действие";"Вражаюча дія";"Efekt Uszkodzeń";"Efeito do dano";"Hasar etkisi";"poškozující účinek";"Πρόκληση ζημιών";"Efek menimbulkan damage";"เอฟเฟกต์สร้างความเสียหาย";"손상유발효과";"损\t伤\t效\t果";"ダメージエフェクト";"損\t傷\t效\t果";;
"missile/seekerRange";"Lock range";"Portée du verrouillage de l'arme";"Raggio di agganciamento dell'arma";"Zielerfassung Reichweite";"Alcance de fijado de armamento";"Дальность захвата";"Дальність захоплення ГСН";"Weapon Lock range";"Weapon Lock range";"Weapon Lock range";"Vzdálenost uzamknutí";"Εύρος κλειδώματος";"Jangkauan penguncian";"ระยะล็อกเป้าหมาย";"무장 락온 거리";"武\t器\t锁\t定\t距\t离";"武器\tロック\t距離";"武\t器\t鎖\t定\t距\t離";;
"missile/seekerRange/rearAspect";"Lock range in rear-aspect";"Distance d'acquisition par l'arrière";"Raggio di aggancio in vista posteriore";"Waffeneinrast Reichweite in hinteren Bereich";"Distancia de fijación de objetivos en aspecto trasero";"Дальность захвата в заднюю полусферу";"Дальність захоплення ДБН в задню півсферу";"Zasięg namierzania od tyłu";"Weapon Lock range in rear-aspect";"Weapon Lock range in rear-aspect";"Vzdálenost uzamknutí v zadní polosféře";"Εύρος κλειδώματος σε οπίσθιο διάταμα";"Jangkauan penguncian di arah belakang";"ระยะล็อกเป้าหมายด้านหลัง";"무장 후방 락온거리";"尾\t后\t攻\t击\t锁\t定\t距\t离";"リアアスペクトにおける\t武器の\tロックレンジ";"尾\t後\t攻\t擊\t鎖\t定\t距\t離";;
"missile/seekerRange/allAspect";"Lock range in all-aspect";"Distance d'acquisition de tous côtés";"Raggio d'aggancio in qualsiasi vista";"Waffeneinrast Reichweite in allen Bereichen";"Distancia de fijación de objetivos en todo aspecto";"Дальность захвата со всех ракурсов";"Дальність захоплення ДБН в передню півсферу";"Zasięg namierzania ze wszystkich stron";"Weapon Lock range in in all-aspect";"Weapon Lock range in in all-aspect";"Vzdálenost uzamknutí celospektrální";"Εύρος κλειδώματος σε κάθε διάταμα";"Jangkauan penguncian di segala arah";"ระยะล็อกเป้าหมายรอบด้าน";"무장 전방향 락온 거리";"全\t向\t攻\t击\t锁\t定\t距\t离";"オールアスペクトにおける\t武器の\tロックレンジ";"全\t向\t攻\t擊\t鎖\t定\t距\t離";;
"missile/launchRange";"Launch range";"Portée";"Raggio di lancio";"Abschussstrecke";"Alcance";"Дальность пуска";"Дальність пуску";"Launch range";"Launch range";"Launch range";"Vzdálenost odpalu";"Εμβέλεια εκτόξευσης";"Jangkauan peluncuran";"ระยะปล่อยตัว";"발사 거리";"作\t战\t距\t离";"発射範囲";"制\t導\t距\t離";;
"missile/loadFactorMax";"Maximum overload";"Surcharge maximale";"Sovraccarico massimo";"Maximale überlastung";"Sobrecarga máxima";"Максимальная перегрузка";"Максимальне перевантаження";"Maksymalne przeciążenie";"Maximum overload";"Maximum overload";"Maximální přetížení";"Μέγιστη υπερφόρτωση";"Kelebihan beban maksimum";"ปัจจัยบรรทุกสูงสุด";"중력 가속도 상한";"最\t大\t过\t载";"最大過負荷";"最\t大\t過\t載";;
"missile/loadFactorLimit";"Maximum overload during launch";"Surcharge maximale au lancement";"Sovraccarico massimo durante il lancio";"Maximale Überlastung beim Start";"Sobrecarga máxima durante lanzamiento";"Максимальная перегрузка в момент пуска";"Максимальне перевантаження в момент пуску";"Maksymalne przeciążenie przy wystrzeleniu";"Maximum overload during launch";"Maximum overload during launch";"Maximální přetížení během startu";"Μέγιστη υπερφόρτωση κατά την εκτόξευση";"Kelebihan beban maksimum selama peluncuran";"ปัจจัยบรรทุกสูงสุดระหว่างปล่อยตัว";"발사 시 최대 하중";"最\t大\t发\t射\t过\t载";"発射中の\t最大過負荷";"最\t大\t發\t射\t過\t載";;
"missile/guidance";"Guidance";"Guidage";"Guida";"Gelenkt";"Guiado";"Наведение";"Наведення";"Naprowadzanie";"Guidance";"Guidance";"Navádění";"Καθοδήγηση";"Panduan";"การนำทาง";"유도방식";"制\t导\t方\t式";"ガイダンス";"制\t導\t方\t式";;
"missile/guidance/ir";"IR";"IR";"IR";"IR";"IR";"ИК";"ІЧ";"Podczerwień";"Infravermelhos";"IR";"IR";"IR";"IR";"IR";"적외선";"红\t外";"赤外線";"紅\t外";;
"missile/guidance/tv";"TV";"TV";"TV";"TV";"TV";"ТВ";"ТВ";"TV";"TV";"TV";"TV";"TV";"TV";"TV";"TV유도";"电\t视";"TV";"電\t視";;
"missile/guidance/SARH";"SARH";"SARH";"SARH";"SARH";"SARH";"ПАРЛ";"ПАРЛ";"Samonaprowadzanie półaktywne";"SARH";"SARH";"SARH";"SARH";"SARH";"SARH";"SARH";"半\t主\t动\t雷\t达\t寻\t的";"セミアクティブレーダーホーミング";"半\t主\t動\t雷\t達\t歸\t向";;
"missile/guidance/ARH";"ARH";"ARH";"ARH";"ARH";"ARH";"АРЛ";"АРЛ";"Samonaprowadzanie aktywne";"ARH";"ARH";"ARH";"ARH";"ARH";"ARH";"ARH";"主\t动\t雷\t达\t寻\t的";"アクティブレーダーホーミング";"主\t動\t雷\t達\t歸\t向";;
"missile/guidance/laser";"Laser";"Laser";"Laser";"Laser";"Láser";"Лазерное";"Лазерне";"Laser";"LASER";"Laser";"Laser";"Laser";"Laser";"เลเซอร์";"레이저";"激\t光";"レーザー";"雷\t射";;
"missile/aiming/beamRiding";"Beam riding";"Guidage par faisceau";"Laser di Puntamento";"Leitstrahllenkung";"Escalamiento de haz";"По лазерному лучу";"По лазерному променю";"Beam riding";"Beam riding";"Beam riding";"Beam riding";"Καθοδήγηση δέσμης";"Beam riding";"นำวิถีโดยสัญญาณคลื่น";"빔 라이딩";"驾\t束\t制\t导";"ビームライディング";"乘\t波";;
"missile/aiming/semiautomatic";"Semi-Automatic (SACLOS)";"Semi-automatique (SACLOS)";"Semi-Automatico (SACLOS)";"Halbautomatisch (SACLOS)";"Semiautomático (SACLOS)";"Полуавтоматическое";"Напівавтоматичне";"Semi-Automatic (SACLOS)";"Semi-automático (SACLOS)";"Semi-Automatic (SACLOS)";"Poloautomatické (SACLOS)";"Ημιαυτόματη (SACLOS)";"Semi-Automatic (SACLOS)";"กึ่งอัตโนมัติ (SACLOS)";"반자동 (SACLOS)";"半\t自\t动\t指\t令\t瞄\t准\t线\t（SACLOS）";"セミオートマチック (SACLOS)";"半\t自\t動\t視\t線\t指\t令\t導\t引\t（SACLOS）";;
"missile/aiming/manual";"Manual (MCLOS)";"Manuel (MCLOS)";"Manuale (MCLOS)";"Manuell (MCLOS)";"Manual (MCLOS)";"Ручное";"Ручне";"Manual (MCLOS)";"Manual (MCLOS)";"Manual (MCLOS)";"Ruční (MCLOS)";"Χειροκίνητη (MCLOS)";"Manual (MCLOS)";"ควบคุมเอง (MCLOS)";"수동 (MCLOS)";"人\t工\t指\t令\t瞄\t准\t线\t（MCLOS）";"マニュアル (MCLOS)";"人\t工\t視\t線\t指\t令\t導\t引\t（MCLOS）";;
"missile/aspect";"Aspect";"Angle";"Vista";"Aspekt";"Aspecto";"Ракурсность";"Ракурсність";"Kierunek ataku";"Aspect";"Aspect";"Polosféra";"Διάταμα";"Arah";"ด้าน";"락온 방위";"攻\t击\t能\t力";"アスペクト";"攻\t擊\t能\t力";;
"missile/aspect/allAspect";"All-aspects";"Tout-angle";"Qualsiasi Vista";"Alle-Aspekte";"Todo Aspecto";"Всеракурсная";"Всеракурсна";"dowolny";"All-Aspects";"All-Aspects";"Všechny polosféry";"Όλα τα διατάματα";"Segala arah";"รอบด้าน";"전방위";"全\t向\t攻\t击";"オールアスペクト";"全\t向\t攻\t擊";;
"missile/aspect/rearAspect";"Rear-aspect";"Angle arrière";"Vista posteriore";"Rückblick";"Aspecto Trasero";"Заднеракурсная";"Задньоракурсна";"od tyłu";"Rear-Aspect";"Rear-Aspect";"Zadní polosféra";"Οπίσθιο διάταμα";"Arah belakang";"ด้านหลัง";"후방";"尾\t后\t攻\t击";"リアアスペクト";"尾\t後\t攻\t擊";;
"missile/radarSignal";"Signal";"Signal";"Segnale";"Radarsignal";"Señal";"Сигнал";"Сигнал";"Sygnał";"Sinal";"Sinyal";"Signál";"Σήμα";"Sinyal";"สัญญาณ";"신호";"信\t号";"信号";"訊\t號";;
"missile/radarSignal/pulse";"Pulse";"Pulsé";"Impulso";"Puls";"Pulso";"Импульсный";"Імпульсний";"Impulsowy";"Impulso";"Darbe";"Puls";"Παλμός";"Pulsa";"พัลส์";"펄스";"脉\t冲";"パルス";"脈\t衝";;
"missile/radarSignal/pulse-doppler";"Pulse-Doppler";"Doppler Pulsé";"Impulso-Doppler";"Puls-Doppler";"Pulso Doppler";"Квазинепрерывный";"Квазінепереривний";"Impulsowo-dopplerowski";"Impulso-Dopler";"Darbeli Doppler";"Puls-Doppler";"Παλμικό Doppler";"Pulsa-Doppler";"พัลส์-ดอปเพลอร์";"펄스 도플러";"脉\t冲\t多\t普\t勒";"パルスドップラー";"脈\t衝\t多\t普\t勒";;
"missile/radarSignal/CW";"CW";"CW";"CW";"CW";"CW";"Непрерывный";"Безперервний";"CW";"CW";"CW";"CW";"CW";"CW";"CW";"CW";"连\t续\t波";"連続波";"連\t續\t波";;
"missile/eccm";"ECCM";"ECCM";"ECCM";"ECCM";"ECCM";"Защита от помех";"Захист від перешкод";"ECCM";"ECCM";"ECCM";"ECCM";"ECCM";"ECCM";"ECCM";"대 전자전 능력";"电\t子\t反\t对\t抗\t措\t施";"ECCM";"電\t子\t反\t反\t制\t措\t施";;
"torpedo/maxSpeedInWater";"Maximum speed in water";"Vitesse maximale dans l’eau";"Velocità massima in acqua";"Höchstgeschwindigkeit im Wasser";"Maximum speed in water";"Максимальная скорость в воде";"Максимальна швидкість у воді";"Pędkość maksymalna w wodzie";"Velocidade máxima em água";"Sudaki azami hız";"nejvyšší rychlost ve vodě";"Μέγιστη ταχύτητα στο νερό";"Kecepatan maksimum di dalam air";"ความเร็วสูงสุดในน้ำ";"수중 최대 속도";"最\t大\t航\t速";"水中最高速度";"最\t大\t航\t速";;
"torpedo/distanceToLive";"Travel distance";"Distance de déplacement";"Distanza di percorrenza";"Reichweite";"Distancia de recorrido";"Дистанция хода";"Дистанція ходу";"Zasięg torpedy";"Distância de viagem";"Etkili menzil";"dosah";"Απόσταση ταξιδιού";"Jarak tempuh";"ระยะเคลื่อนที่";"사거리";"射\t程";"走行距離﻿";"射\t程";;
"torpedo/armingDistance";"Arming distance";"Distance d'armement";"Distanza di armamento";"Abstand zur Bewaffnung";"Distancia de armado";"Дистанция взвода";"Дистанція взводу";"Dystans uzbrajania";"Distância de armamento";"Arming distance";"Arming distance";"Απόσταση όπλισης";"Arming distance";"ระยะเตรียมยิง";"최소 발사 거리";"引\t信\t解\t除\t保\t险\t距\t离";"安全解除距離";"引\t信\t解\t除\t保\t險\t距\t離";;
"guidanceSystemType/header";"Guidance system type:";"Système de guidage :";"Sistema di Guida:";"Lenksystemtyp:";"Guidance system type:";"Тип системы наведения:";"Тип системи наведення:";"System naprowadzania";"Tipo de sistema de controle:";"Kılavuz sistem tipi:";"typ naváděcího systému";"Τύπος συστήματος καθοδήγησης:";"Jenis sistem panduan:";"ประเภทระบบนำวิถี:";"유도체계 유형:";"制\t导\t方\t式";"誘導\tシステムの\t種類:";"制\t導\t方\t式";;
"guidanceSystemType/semiAuto";"Semi-automatic";"Semi-automatique";"Semi-automatico";"Halbaktiv";"Semi-automatic";"Полуавтоматическая";"Напівавтоматична";"Półautomatyczne";"Semi-automático";"Yarı-otomatik";"poloautomatický";"Ημιαυτόματος";"Semi-otomatis";"กึ่งอัตโนมัติ";"반자동";"半\t自\t动\t制\t导";"半自動";"半\t自\t動\t制\t導";;
"guidanceSystemType/handAim";"Hand aiming";"Manuel";"Puntamento Manuale";"Aktiv";"Hand aiming";"Ручная";"Ручна";"Ręczne";"Mira com a mão";"El Nişanlaması";"ruční zaměřování";"Στόχευση με το χέρι";"Membidik dengan tangan";"เล็งด้วยมือ";"수동";"人\t工\t制\t导";"手動";"人\t工\t制\t導";;
"firingRange";"Firing range";"Portée de tir";"Raggio di Fuoco";"Feuerreichweite";"Firing range";"Дальность стрельбы";"Дальність стрільби";"Zasięg maksymalny";"Firing range (erro01)";"Ateşleme Menzili";"dostřel";"Εμβέλεια βολής";"Jangkauan tembak";"ระยะยิง";"사거리";"射\t程";"射程";"射\t程";;
"machinegun_belt";"Machine gun belt";"Ceinture de mitrailleuse";"Nastro mitragliatrice";"Maschinengewehrgurt";"Cinturón de ametralladora";"Пулемётная лента";"Кулеметна стрічка";"Taśma do karabinu maszynowego";"Cinta de metralhadora";"Makineli tüfek kemeri";"Kulometný pás";"Ιμάντες πολυβόλων";"Sabuk amunisi senapan mesin";"สายพานปืนกล";"기관총 탄띠";"机\t枪\t弹\t链";"マシンガンベルト";"機\t槍\t彈\t鏈";;
"caliber_6.5/desc";"6.5 mm machine gun shell rack filled with %s bullets";"Magasin pour mitrailleuse de 6.5 mm avec %s balles";"Munizioni da 6.5 mm con proiettili %s";"6.5mm Maschinengewehrmunition: %s";"Bastidor de municiones para ametralladora de 6.5 mm cargado con %s balas";"В боекомплект 6,5-мм пулемёта входят пули %s";"У боєкомплект 6,5-мм кулемета входять кулі %s";"Taśma amunicyjna karabinu kal. 6.5 mm załadowana pociskami %s";"Conjunto de munições de metralhadora de 6,5 mm com %s munições";"%s mermiyle dolu 6,5 mm makineli tüfek mermisi rafı";"zásobník kulometné 6.5 mm munice s %s náboji";"ράφι για βλήματα πολυβόλου 6,5 mm γεμάτο με %s σφαίρες";"Rak selongsong senapan mesin 6.5 mm yang berisi selongsong %s";"ชั้นวางลูกปืนปืนกล 6.5 มม. บรรจุกระสุน %s นัด";"6.5 mm 기관총탄이 %s 발 차있는 탄통";"6.5 毫\t米\t机\t枪\t使\t用 %s";"6.5 mmの %s を\t装填した\t弾薬棚";"6.5 毫\t米\t機\t槍\t使\t用 %s";;
"caliber_7.5/desc";"7.5 mm machine gun shell rack filled with %s bullets";"Magasin pour mitrailleuse de 7.5 mm avec %s balles";"Munizioni da 7.5 mm con proiettili %s";"7,5mm Maschinengewehrmunition: %s";"Ametralladora de 7.5 mm con un bastidor cargado con %s balas";"В боекомплект 7,5-мм пулемёта входят пули %s";"До боєкомплекту 7,5-мм кулемета входять кулі %s";"Taśma amunicyjna karabinu kal. 7.5 mm załadowana pociskami %s";"Conjunto de munições de metralhadora de 7,5 mm com %s munições";"%s mermi rafı 7.5 mm makineli tüfek mühimmatı ile dolduruldu";"7,5 mm munice s %s náboji";"ράφι για βλήματα πολυβόλου 7,5 mm γεμάτο με %s σφαίρες";"Rak selongsong senapan mesin 7.5 mm yang berisi selongsong %s";"ชั้นวางลูกปืนปืนกล 7.5 มม. บรรจุกระสุน %s นัด";"%s (으)로 채워진 7.5 mm 기관총 탄띠/탄알집";"7.5 毫\t米\t机\t枪\t使\t用 %s";"7.5 mmの%s を\t装填した\t弾薬\tラック";"7.5 毫\t米\t機\t槍\t使\t用 %s";;
